movie_id,title,genre,poster,rating
47,"Play Dirty",Movie,https://image.tmdb.org/t/p/w500/ovZ0zq0NwRghtWI1oLaM0lWuoEw.jpg,6.681
48,"Genshin Impact: Star Odyssey",Movie,https://image.tmdb.org/t/p/w500/iBsKv6W5gaEnpYf3LBvwaybrnAX.jpg,0
49,"The Rats: A Witcher Tale",Movie,https://image.tmdb.org/t/p/w500/1T0kO1cgR430AC9I6jurMOezKwg.jpg,4.918
50,"TRON: Ares",Movie,https://image.tmdb.org/t/p/w500/chpWmskl3aKm1aTZqUHRCtviwPy.jpg,6.349
51,"War 2",Movie,https://image.tmdb.org/t/p/w500/2Yc8Kl2ldPpDzLrG2M5Ddv62FXB.jpg,5.425
52,"The Long Walk",Movie,https://image.tmdb.org/t/p/w500/wobVTa99eW0ht6c1rNNzLkazPtR.jpg,6.951
53,"Dr. Seuss's The Sneetches",Movie,https://image.tmdb.org/t/p/w500/5jqpfOY6q8ltnCFEfUPY3c0bpR5.jpg,7.6
54,"Dracula: A Love Tale",Movie,https://image.tmdb.org/t/p/w500/Ap4kyIiMGsCAI6IKrJejp6AAiTL.jpg,7.064
55,Bugonia,Movie,https://image.tmdb.org/t/p/w500/oxgsAQDAAxA92mFGYCZllgWkH9J.jpg,7.65
56,"Prisoner of War",Movie,https://image.tmdb.org/t/p/w500/1XET89sjRm9mUuHXhGIlKTNd5uD.jpg,7.1
57,"The Black Phone",Movie,https://image.tmdb.org/t/p/w500/p9ZUzCyy9wRTDuuQexkQ78R2BgF.jpg,7.6
58,"How to Train Your Dragon",Movie,https://image.tmdb.org/t/p/w500/53dsJ3oEnBhTBVMigWJ9tkA5bzJ.jpg,8.004
59,"A House of Dynamite",Movie,https://image.tmdb.org/t/p/w500/AiJ8L90ftPAwVf3SDx7Fj9IMZoy.jpg,6.4
60,"Valiant One",Movie,https://image.tmdb.org/t/p/w500/sT8Z14RDCAd6szzxzWFAU4xcMwg.jpg,6.773
61,"Lilo & Stitch",Movie,https://image.tmdb.org/t/p/w500/ckQzKpQJO4ZQDCN5evdpKcfm7Ys.jpg,7.2
62,"Fran the Man",Movie,https://image.tmdb.org/t/p/w500/fxST2MqYdafW5zucXX85qddvnjm.jpg,6.111
63,"The Running Man",Movie,https://image.tmdb.org/t/p/w500/yhWKTCYa0LK9kS6zcKGYc5Dx9xQ.jpg,8.2
64,"Grisaia: Phantom Trigger the Animation",Movie,https://image.tmdb.org/t/p/w500/cllFRaJmSyWlIYwJNbVslRoR9dP.jpg,5.9
65,"The Smashing Machine",Movie,https://image.tmdb.org/t/p/w500/mPuBDGrVIBGOymBxR6rO3iIvBSe.jpg,6.5
66,"The Strangers: Chapter 2",Movie,https://image.tmdb.org/t/p/w500/pqADzs5SJvI2jC0DThPVMuNJcWS.jpg,6.004
67,"My Fault",Movie,https://image.tmdb.org/t/p/w500/w46Vw536HwNnEzOa7J24YH9DPRS.jpg,7.763
68,"A Merry Little Ex-Mas",Movie,https://image.tmdb.org/t/p/w500/w4ytu75uJ1b0AgPd0wLm7iZMsWJ.jpg,8
69,"One Battle After Another",Movie,https://image.tmdb.org/t/p/w500/m1jFoahEbeQXtx4zArT2FKdbNIj.jpg,7.7
70,"Regretting You",Movie,https://image.tmdb.org/t/p/w500/z4gVnxTaks3anTycwKjDmvQSuWt.jpg,7.085
71,"The Mannequin",Movie,https://image.tmdb.org/t/p/w500/oFTpB1gzS02LtrsenTWxOKbsMpM.jpg,5.857
72,"Nobody 2",Movie,https://image.tmdb.org/t/p/w500/xGLoqM9peusKQeuwlSw2Qlhx740.jpg,7.065
73,Mantis,Movie,https://image.tmdb.org/t/p/w500/x6WLRwwddFKattMseWL3m7Geskd.jpg,6.195
74,"The Avengers",Movie,https://image.tmdb.org/t/p/w500/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,7.847
75,Coco,Movie,https://image.tmdb.org/t/p/w500/6Ryitt95xrO8KXuqRGm1fUuNwqF.jpg,8.2
76,"Ne Zha 2",Movie,https://image.tmdb.org/t/p/w500/cb5NyNrqiCNNoDkA8FfxHAtypdG.jpg,8
